Date,ESG,Value/Size/Mom,Value/Size/Mom/ESG,Value,Value/ESG,Size,Size/ESG,Momentum,Momentum/ESG,Value/Size,Value/Size/ESG,Value/Momentum,Value/Momentum/ESG,Size/Momentum,Size/Momentum/ESG
2020-07-08,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-09,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-10,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-13,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-14,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-15,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-16,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-17,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-20,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-21,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
